Temperature,Conductivity,PH,Turbidity,ODO,BGA
16.46,1869,8.36,23.69,8.79,0
16.47,1866,8.36,27.92,8.79,0
16.47,1864,8.36,30.73,8.78,0
16.48,1862,8.36,32.59,8.77,0
16.46,1857,8.35,37.88,8.71,0
16.45,1851,8.35,74.73,8.63,0
16.46,1848,8.34,101.08,8.56,0
16.46,1848,8.34,102.41,8.55,0
16.45,1849,8.34,90.09,8.58,0
16.43,1857,8.35,88.38,8.66,0
16.51,1872,8.36,87.39,8.71,0
16.57,1890,8.36,79.52,8.69,0
16.54,1888,8.36,95.16,8.67,0
16.57,1894,8.36,98.27,8.64,0
16.57,1894,8.36,83.35,8.62,0
16.51,1884,8.35,103.33,8.63,0
16.48,1877,8.36,93.05,8.64,0
16.51,1883,8.36,87.29,8.64,0
16.56,1893,8.36,76.16,8.61,0
16.65,1899,8.36,66.55,8.61,0
16.63,1900,8.36,66.53,8.6,0
16.65,1900,8.36,62.44,8.6,0
16.7,1900,8.36,57.35,8.6,0
16.64,1899,8.36,59.44,8.59,0
16.62,1898,8.36,56.99,8.57,0
16.59,1895,8.36,56.29,8.57,0
16.56,1891,8.36,54.22,8.56,0
16.56,1891,8.36,53.23,8.55,0
16.56,1892,8.36,52.45,8.53,0
16.54,1892,8.36,50.99,8.53,0
16.51,1893,8.36,52.32,8.51,0
16.52,1898,8.36,55.56,8.49,0
16.55,1903,8.36,53.46,8.46,0
16.56,1905,8.36,53.84,8.45,0
16.53,1907,8.36,50.38,8.45,0
16.53,1910,8.35,50.89,8.41,0
16.51,1911,8.35,49.49,8.37,0
16.48,1913,8.35,52.01,8.35,0
16.45,1914,8.35,53.31,8.35,0
16.44,1914,8.35,51.57,8.33,0
16.43,1914,8.35,53.45,8.3,0
16.41,1914,8.34,55.73,8.27,0
16.38,1914,8.34,67.7,8.25,0
16.36,1914,8.34,70.7,8.24,0
16.35,1914,8.34,74.08,8.22,0
16.33,1914,8.34,83.73,8.21,0
16.31,1914,8.34,88.77,8.21,0
16.29,1915,8.34,95.73,8.21,0
16.26,1915,8.34,89.57,8.21,0
16.25,1915,8.34,88.8,8.2,0
16.24,1915,8.34,88.83,8.18,0
16.22,1915,8.34,84.13,8.17,0
16.2,1915,8.34,81.85,8.16,0
16.17,1916,8.34,83.99,8.16,0
16.15,1916,8.34,82.44,8.15,0
16.14,1916,8.33,87.06,8.15,0
16.11,1917,8.34,87.23,8.15,0
16.09,1917,8.34,86.01,8.15,0
16.08,1918,8.34,86.14,8.15,0
16.05,1917,8.34,86.83,8.14,0
16.03,1918,8.34,85.37,8.15,0
16,1917,8.34,88.24,8.15,0
15.98,1918,8.34,99.49,8.15,0
15.96,1917,8.34,97.24,8.14,0
15.96,1916,8.34,97.42,8.13,0
15.96,1916,8.34,104.97,8.12,0
15.93,1916,8.34,99.25,8.12,0
15.93,1915,8.34,100.58,8.11,0
15.95,1914,8.34,104.13,8.08,0
15.94,1914,8.33,103.37,8.06,0
15.95,1914,8.33,108.79,8.05,0
15.95,1912,8.33,102.56,8.05,0
15.96,1911,8.33,105.95,8.04,0
15.97,1911,8.33,110.3,8.03,0
15.99,1910,8.33,100.62,8.05,0
16.01,1908,8.34,97.14,8.06,0
16.04,1906,8.34,90.74,8.07,0
16.05,1903,8.34,89.02,8.07,0
16.08,1901,8.34,84.39,8.09,0
16.13,1898,8.34,79.61,8.11,0
16.13,1897,8.34,76.37,8.12,0
16.22,1894,8.35,71.74,8.15,0
16.23,1892,8.35,70.01,8.16,0
16.16,1890,8.35,69.29,8.14,0
16.19,1889,8.35,66.38,8.14,0
16.24,1889,8.35,64.58,8.16,0
16.45,1889,8.36,60.81,8.28,0
16.35,1888,8.35,57.98,8.21,0
16.51,1891,8.35,57.18,8.24,0
16.35,1887,8.36,56.01,8.26,0
16.47,1887,8.36,54.27,8.23,0
16.34,1886,8.36,53.52,8.23,0
16.33,1885,8.35,52.64,8.22,0
16.25,1881,8.36,51.05,8.22,0
16.14,1882,8.36,51.28,8.21,0
16.86,1887,8.37,47.94,8.42,0
16.45,1882,8.37,47.61,8.34,0
16.6,1884,8.37,45.47,8.36,0
16.22,1879,8.36,44.56,8.3,0
16.2,1879,8.36,43.97,8.28,0
16.23,1882,8.37,44.4,8.29,0
16.38,1887,8.37,41.96,8.32,0
16.53,1886,8.38,40.46,8.44,0
16.51,1888,8.37,40.86,8.39,0
16.86,1888,8.38,38.84,8.55,0
16.53,1887,8.38,37.96,8.51,0
16.74,1881,8.39,37.89,8.59,0
17.36,1911,8.37,38.1,8.43,0
17.67,1894,8.39,36.02,8.65,0
17.02,1892,8.4,36.66,8.82,0
16.95,1884,8.4,35.03,8.8,0
16.95,1896,8.39,35.06,8.64,0
18.32,1929,8.37,33.29,8.45,0
18.36,1928,8.37,32.33,8.38,0
18,1929,8.37,32.68,8.37,0
17.72,1928,8.36,33.72,8.28,0
17.58,1928,8.36,33.41,8.24,0
17.48,1929,8.35,36.01,8.2,0
17.42,1930,8.35,36.3,8.19,0
17.38,1929,8.35,39.15,8.18,0
17.36,1929,8.35,39.21,8.17,0
17.34,1929,8.35,46.19,8.16,0
