Temperature,Conductivity,PH,Turbidity,ODO,BGA
22.42,1979,8.38,24.58,7.13,0
22.4,1977,8.38,25.21,7.1,0
22.34,1976,8.38,24.25,7.11,0
22.36,1975,8.38,25.86,7.06,0
22.3,1973,8.38,28.91,7.06,0
22.26,1972,8.38,24.44,7.07,0
22.24,1971,8.38,23.79,7.04,0
22.19,1970,8.38,24.65,7.04,0
22.2,1970,8.38,25.18,7,0
22.16,1967,8.37,25.47,6.93,0
22.13,1968,8.37,23.51,6.91,0
22.13,1968,8.37,25.11,6.89,0
22.07,1968,8.37,25.46,6.85,0
22.03,1968,8.37,25.02,6.81,0
22.06,1966,8.37,26.36,6.76,0
22,1965,8.37,25.76,6.77,0
21.96,1964,8.37,22.26,6.78,0
21.93,1963,8.37,24.8,6.76,0
21.91,1959,8.37,25.43,6.8,0
21.92,1959,8.37,23.66,6.8,0
21.91,1958,8.37,24.82,6.82,0
21.97,1959,8.37,26.76,6.8,0
22,1958,8.38,24.68,6.82,0
22.02,1958,8.37,27.03,6.8,0
21.98,1958,8.38,25.6,6.88,0
22.01,1957,8.38,25.15,6.87,0
22.03,1957,8.37,27.45,6.85,0
22.05,1957,8.37,28.79,6.8,0
22.05,1956,8.37,27.72,6.79,0
22.08,1956,8.37,28.61,6.77,0
22.1,1955,8.37,29.17,6.77,0
22.12,1956,8.38,28.01,6.84,0
22.15,1955,8.38,27.57,6.89,0
22.17,1953,8.38,28.51,6.92,0
22.21,1951,8.38,26.8,7.02,0
22.22,1948,8.39,26.46,7.09,0
22.23,1946,8.38,27.6,6.96,0
22.27,1945,8.38,26.39,6.9,0
22.28,1945,8.38,25.97,6.9,0
22.27,1945,8.37,26.59,6.9,0
22.44,1944,8.37,26.02,6.92,0
22.43,1943,8.39,24.73,7.09,0
22.49,1942,8.38,24.89,7.1,0
22.51,1940,8.39,25.96,7.15,0
22.47,1939,8.39,25.49,7.17,0
22.43,1939,8.38,26.17,7.15,0
22.34,1939,8.38,26.22,7.13,0
22.27,1938,8.38,24.25,7.13,0
22.29,1935,8.39,25.97,7.28,0
22.26,1934,8.4,25.6,7.44,0
22.29,1930,8.41,43.33,7.64,0
22.49,1931,8.42,25.62,7.69,0
22.41,1929,8.42,27.39,7.78,0
22.57,1928,8.42,25.48,7.84,0
22.33,1929,8.4,32.38,7.44,0
22.33,1925,8.42,24.3,7.7,0
22.33,1923,8.42,30.3,7.69,0
22.31,1919,8.4,24.27,7.49,0
22.47,1925,8.39,24.97,7.27,0
23.03,1929,8.46,23.47,8.64,0
23.03,1928,8.42,24.3,7.82,0
22.74,1932,8.43,22.98,8.15,0
23.29,1937,8.44,20.14,8.36,0
23.21,1925,8.43,21.24,8.18,0
22.96,1932,8.4,25.48,7.52,0
23.4,1921,8.41,25.36,7.79,0
23.29,1930,8.44,25.7,8.32,0
23.33,1925,8.45,29.37,8.44,0
24.52,1935,8.46,27.62,8.85,0
22.65,1914,8.45,23.33,8.59,0
23.69,1916,8.46,21.28,8.86,0
23.65,1921,8.46,22.34,9.01,0
23.03,1913,8.45,25.03,8.74,0
23.02,1912,8.45,24.55,8.76,0
23.57,1915,8.45,28.38,8.8,0
23.18,1910,8.45,24.82,8.79,0
22.98,1910,8.45,24.67,8.81,0
