"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-22",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"73",",,7","43",",,7","72",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-23",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"80",",,7",,,"79",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-24",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"84",",,7","49",",,7","81",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-25",,,,,,,,,,,"0.03",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"85",",,7",,,"63",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-26",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"69",",,7","48",",,7","66",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-27",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"69",",,7","44",",,7","64",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-28",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"78",",,7","49",",,7","71",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-29",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"79",",,7","44",",,7","78",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-30",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"87",",,7","52",",,7","82",",,7,1700",,,,,,,,,,,,,,
"USC00428119","SPANISH FORK POWER HOUSE, UT US","40.08003","-111.6046","1438.7","2017-05-31",,,,,,,,,,,"0.00",",,7,1700","0.0",",,7,1700","0.0",",,7,1700",,,"87",",,7","50",",,7","82",",,7,1700",,,,,,,,,,,,,,
