STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-15,,,,,,0,0,0,13.3,-2.8,11.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-16,,,,,,0,0,0,17.8,-1.1,15.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-17,,,,,,0,0,0,15.6,2.2,7.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-18,,,,,,0,0,0,15.6,6.7,12.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-19,,,,,,2,0,0,12.8,6.7,9.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-20,,,,,,0,0,0,13.9,3.9,11.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-21,,,,,,0,0,0,17.8,11.1,15.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-22,,,,,,26.2,51,51,15.6,0,0.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-23,,,,,,11.7,117,178,0.6,-3.3,-2.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-24,,,,,,0.3,0,127,-1.1,-5,-2.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-25,,,,,,0,0,127,1.1,-10,0.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-26,,,,,,0,0,102,5.6,-10.6,4.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-27,,,,,,8.4,102,178,5,-1.1,-1.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-02-28,,,,,,0,0,127,2.8,-7.8,0,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-01,,,,,,0,0,102,5.6,-4.4,3.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-02,,,,,,0,0,76,7.8,-6.1,5.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-03,,,,,,0,0,25,13.9,-3.9,11.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-04,,,,,,0,0,0,17.2,2.8,15,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-05,,,,,,0,0,0,17.8,6.1,14.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-06,,,,,,1,0,0,14.4,-2.2,2.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-07,,,,,,0,0,0,9.4,-3.9,7.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-08,,,,,,0,0,0,17.8,4.4,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-09,,,,,,0,0,0,20,1.7,18.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-10,,,,,,0,0,0,20,5,17.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-11,,,,,,0,0,0,17.8,4.4,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-12,,,,,,0,0,0,16.7,5.6,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-13,,,,,,0,0,0,19.4,1.1,18.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-14,,,,,,0,0,0,23.9,3.9,22.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-15,,,,,,0,0,0,25.6,5.6,23.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-16,,,,,,0,0,0,24.4,11.1,22.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-17,,,,,,0,0,0,23.9,6.1,23.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-18,,,,,,0,0,0,26.7,8.3,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-19,,,,,,0,0,0,24.4,10.6,22.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-20,,,,,,0,0,0,23.9,11.1,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-21,,,,,,0,0,0,23.9,11.7,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-22,,,,,,0,0,0,22.8,13.3,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-23,,,,,,16.3,0,0,16.7,3.9,5,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-24,,,,,,0,0,0,15.6,1.7,13.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-25,,,,,,6.6,0,0,13.9,5,5,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-26,,,,,,0.5,0,0,12.8,2.8,11.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-27,,,,,,16.8,0,0,11.7,4.4,4.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-28,,,,,,1,0,0,13.9,2.8,11.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-29,,,,,,0,0,0,15.6,1.1,14.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-30,,,,,,3.8,0,0,18.3,8.3,8.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-03-31,,,,,,0.8,0,0,14.4,5,13.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-01,,,,,,0,0,0,17.8,4.4,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-02,,,,,,0.3,0,0,16.1,4.4,10.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-03,,,,,,0,0,0,13.3,1.7,10.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-04,,,,,,0,0,0,10.6,1.7,9.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-05,,,,,,0,0,0,16.7,-1.1,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-06,,,,,,0,0,0,24.4,4.4,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-07,,,,,,0,0,0,21.7,12.8,19.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-08,,,,,,2.3,0,0,19.4,6.7,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-09,,,,,,4.8,0,0,17.2,0,8.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-10,,,,,,0,0,0,16.7,-1.1,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-11,,,,,,0,0,0,18.3,2.8,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-12,,,,,,0,0,0,23.9,4.4,23.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-13,,,,,,0,0,0,28.3,7.2,12.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-14,,,,,,0,0,0,16.1,5.6,15.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-15,,,,,,0,0,0,16.7,2.2,15.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-16,,,,,,0,0,0,23.3,4.4,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-17,,,,,,0,0,0,23.9,11.1,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-18,,,,,,0,0,0,22.2,10.6,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-19,,,,,,10.2,0,0,17.2,6.1,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-20,,,,,,1.5,0,0,16.7,6.1,11.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-21,,,,,,0.5,0,0,13.9,3.3,12.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-22,,,,,,0,0,0,17.8,1.1,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-23,,,,,,0,0,0,23.3,6.7,16.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-24,,,,,,2.5,0,0,16.7,5.6,12.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-25,,,,,,4.8,0,0,12.2,4.4,10,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-26,,,,,,0,0,0,15,2.2,11.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-27,,,,,,6.4,0,0,11.7,4.4,8.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-28,,,,,,0.3,0,0,8.9,1.1,6.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-29,,,,,,0,0,0,15,0.6,13.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-04-30,,,,,,0,0,0,17.8,1.1,15.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-01,,,,,,0,0,0,18.9,7.2,13.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-02,,,,,,0,0,0,19.4,7.8,17.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-03,,,,,,0,0,0,21.7,4.4,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-04,,,,,,0,0,0,26.7,6.7,26.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-05,,,,,,0,0,0,31.7,8.9,30.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-06,,,,,,1.8,0,0,30.6,15,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-07,,,,,,0,0,0,27.2,18.9,25,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-08,,,,,,0,0,0,25.6,12.2,22.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-09,,,,,,0,0,0,25.6,9.4,23.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-10,,,,,,0,0,0,25,10.6,23.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-11,,,,,,0,0,0,27.8,10,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-12,,,,,,0,0,0,30.6,11.7,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-13,,,,,,0,0,0,29.4,8.3,16.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-14,,6.9,,9.4,26.1,0,0,0,23.3,5,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-15,,3.8,,12.2,25,0,0,0,22.2,10,20,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-16,,5.1,,11.7,25,0.8,0,0,20,9.4,18.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-17,,4.1,,9.4,24.4,7.4,0,0,18.9,2.2,7.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-18,,2.8,,6.1,16.1,0,0,0,11.7,2.2,9.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-19,,2.5,,7.8,19.4,0,0,0,16.1,5,13.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-20,,4.6,,7.8,27.2,0,0,0,21.7,3.9,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-21,,0,,12.8,27.2,3.3,0,0,21.1,10,18.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-22,,5.3,,11.7,28.9,0,0,0,23.9,7.2,23.3,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-23,,6.1,,13.3,30.6,0,0,0,28.3,10,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-24,,6.9,,14.4,30.6,0,0,0,31.1,10,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-25,,7.4,,15.6,28.9,0,0,0,27.2,13.9,20.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-26,,5.6,,14.4,27.8,0,0,0,21.7,12.8,18.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-27,,6.1,,11.1,28.9,0,0,0,22.8,8.3,21.7,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-28,,6.6,,12.8,30.6,0,0,0,26.7,7.8,25.6,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-29,,6.9,,13.9,31.7,0,0,0,28.9,10,27.8,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-30,,7.4,,14.4,31.7,0,0,0,31.1,11.1,29.4,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-05-31,,7.1,,15.6,30.6,0,0,0,31.7,12.8,28.9,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-01,,5.6,,16.1,29.4,0,0,0,30.6,15.6,21.1,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-02,,6.9,,15,32.8,0,0,0,28.3,12.8,27.2,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,2017-06-03,,7.1,,15,33.9,0,0,0,32.8,11.1,31.7,,
