STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,EVAP,MDPR,MNPN,MXPN,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT11
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/9/2017,,11.4,,15.6,32.2,0,0,0,,33.9,17.2,30,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/10/2017,,7.6,,15,32.8,0,0,0,,31.7,13.3,26.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/11/2017,,7.6,,16.1,32.2,0,0,0,,31.1,13.9,28.9,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/12/2017,,6.6,,14.4,28.9,0,0,0,,31.1,13.3,19.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/13/2017,,2.8,,11.7,25,2,0,0,,22.2,8.9,21.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/14/2017,,6.1,,13.3,32.2,0,0,0,,27.8,9.4,27.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/15/2017,,7.6,,15.6,32.8,0,0,0,,32.8,11.7,31.1,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/16/2017,,8.4,,17.2,35,0,0,0,,33.3,13.9,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/17/2017,,7.6,,18.9,35,0,0,0,,33.3,14.4,27.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/18/2017,,7.1,,17.2,33.9,0,0,0,,30.6,18.3,29.4,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/19/2017,,6.9,,17.8,36.1,0,0,0,,35,16.7,35,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/20/2017,,8.6,,20,36.1,0,0,0,,37.8,18.3,33.3,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/21/2017,,7.6,,18.9,35.6,0,0,0,,38.3,16.7,37.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/22/2017,,9.9,,20.6,35,0,0,0,,37.2,18.9,31.7,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/23/2017,,8.4,,16.1,33.9,0,0,0,,31.7,12.8,30.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/24/2017,,9.1,,15.6,34.4,0,0,0,,32.8,12.2,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/25/2017,,7.6,,16.7,35.6,0,0,0,,35,13.3,35,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/26/2017,,7.6,,18.3,35,0,0,0,,36.7,15.6,35.6,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/27/2017,,8.4,,17.8,34.4,0,0,0,,36.1,16.7,32.2,,,,,,,
USC00427064,"PROVO BYU, UT US",40.2458,-111.6508,1392.9,6/28/2017,,8.6,,17.2,33.9,0,0,0,,33.9,14.4,31.7,,,,,,,
